new_common_name,species_code,taxon_concept_id,scientific_name,order,family,family_common,category,taxonomic_order,report_as,extinct
Snow Goose,snogoo,avibase-D3A260BC,Anser caerulescens,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,267,NA,FALSE
Greater White-fronted Goose,gwfgoo,avibase-466E9077,Anser albifrons,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,287,NA,FALSE
Brant,brant,avibase-3E04020B,Branta bernicla,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,314,NA,FALSE
Brant (Black),blkbra1,avibase-8C09000A,Branta bernicla nigricans,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,317,brant,NA
Cackling Goose,cacgoo1,avibase-60214D49,Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,331,NA,FALSE
Canada Goose,cangoo,avibase-B59E1863,Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,342,NA,FALSE
Mute Swan,mutswa,avibase-694C127A,Cygnus olor,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,377,NA,FALSE
Trumpeter Swan,truswa,avibase-B86C504C,Cygnus buccinator,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,382,NA,FALSE
Tundra Swan,tunswa,avibase-0BCBA6B9,Cygnus columbianus,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,384,NA,FALSE
Wood Duck,wooduc,avibase-27B2749A,Aix sponsa,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,455,NA,FALSE
Blue-winged Teal,buwtea,avibase-90E2543E,Spatula discors,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,485,NA,FALSE
Cinnamon Teal,cintea,avibase-0E599E6C,Spatula cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,487,NA,FALSE
Blue-winged/Cinnamon Teal,y00314,avibase-15045575,Spatula discors/cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,495,NA,NA
Northern Shoveler,norsho,avibase-ED4CE8E7,Spatula clypeata,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,501,NA,FALSE
Gadwall,gadwal,avibase-C235A4D7,Mareca strepera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,505,NA,FALSE
Eurasian Wigeon,eurwig,avibase-15EE0D36,Mareca penelope,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,512,NA,FALSE
American Wigeon,amewig,avibase-D201EB72,Mareca americana,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,517,NA,FALSE
Mallard,mallar3,avibase-85625D75,Anas platyrhynchos,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,545,NA,FALSE
Mallard (Domestic type),mallar2,avibase-07FFC1E5,Anas platyrhynchos (Domestic type),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",domestic,548,mallar3,NA
Northern Pintail,norpin,avibase-56CCA717,Anas acuta,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,594,NA,FALSE
Green-winged Teal,gnwtea,avibase-BC6C3CCE,Anas crecca,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,612,NA,FALSE
Green-winged Teal (American),agwtea1,avibase-DE24B98D,Anas crecca carolinensis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,614,gnwtea,NA
dabbling duck sp.,dabduc1,avibase-BD7161A9,Anatidae sp. (dabbling duck sp.),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,655,NA,NA
Canvasback,canvas,avibase-1929E1E1,Aythya valisineria,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,666,NA,FALSE
Redhead,redhea,avibase-3072CC16,Aythya americana,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,667,NA,FALSE
Ring-necked Duck,rinduc,avibase-0783A7EA,Aythya collaris,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,673,NA,FALSE
Tufted Duck,tufduc,avibase-67CEA1C1,Aythya fuligula,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,687,NA,FALSE
Greater Scaup,gresca,avibase-25C94A8F,Aythya marila,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,694,NA,FALSE
Lesser Scaup,lessca,avibase-50566E50,Aythya affinis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,700,NA,FALSE
Ring-necked Duck x scaup sp. (hybrid),x00682,avibase-A8CB0D83,Aythya collaris x marila/affinis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,706,NA,NA
Greater/Lesser Scaup,scaup,avibase-83610FC3,Aythya marila/affinis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,708,NA,NA
Surf Scoter,sursco,avibase-624078BA,Melanitta perspicillata,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,728,NA,FALSE
White-winged Scoter,whwsco2,avibase-4800D6B6,Melanitta deglandi,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,730,NA,FALSE
scoter sp.,scoter,avibase-CB56BEF1,Melanitta sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,740,NA,NA
Long-tailed Duck,lotduc,avibase-AF0C7BDE,Clangula hyemalis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,741,NA,FALSE
Bufflehead,buffle,avibase-FB738385,Bucephala albeola,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,742,NA,FALSE
Common Goldeneye,comgol,avibase-68EA281A,Bucephala clangula,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,743,NA,FALSE
Hooded Merganser,hoomer,avibase-60E6081E,Lophodytes cucullatus,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,754,NA,FALSE
Common Merganser,commer,avibase-407E2CA8,Mergus merganser,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,762,NA,FALSE
