Label,Code
Snow Goose,Snow Goose
Greater White-fronted Goose,Greater White-fronted Goose
Brant,Brant
Brant (Black),Brant (Black)
Cackling Goose,Cackling Goose
Canada Goose,Canada Goose
Mute Swan,Mute Swan
Trumpeter Swan,Trumpeter Swan
Tundra Swan,Tundra Swan
Wood Duck,Wood Duck
Blue-winged Teal,Blue-winged Teal
Cinnamon Teal,Cinnamon Teal
Blue-winged/Cinnamon Teal,Blue-winged/Cinnamon Teal
Northern Shoveler,Northern Shoveler
Gadwall,Gadwall
Eurasian Wigeon,Eurasian Wigeon
American Wigeon,American Wigeon
Mallard,Mallard
Mallard (Domestic type),Mallard (Domestic type)
Northern Pintail,Northern Pintail
Green-winged Teal,Green-winged Teal
Green-winged Teal (American),Green-winged Teal (American)
dabbling duck sp.,dabbling duck sp.
Canvasback,Canvasback
Redhead,Redhead
Ring-necked Duck,Ring-necked Duck
Tufted Duck,Tufted Duck
Greater Scaup,Greater Scaup
Lesser Scaup,Lesser Scaup
Ring-necked Duck x scaup sp. (hybrid),Ring-necked Duck x scaup sp. (hybrid)
Greater/Lesser Scaup,Greater/Lesser Scaup
Surf Scoter,Surf Scoter
White-winged Scoter,White-winged Scoter
scoter sp.,scoter sp.
Long-tailed Duck,Long-tailed Duck
Bufflehead,Bufflehead
Common Goldeneye,Common Goldeneye
Hooded Merganser,Hooded Merganser
Common Merganser,Common Merganser
Red-breasted Merganser,Red-breasted Merganser
merganser sp.,merganser sp.
Ruddy Duck,Ruddy Duck
duck sp.,duck sp.
waterfowl sp.,waterfowl sp.
California Quail,California Quail
Rock Pigeon (Feral Pigeon),Rock Pigeon (Feral Pigeon)
Band-tailed Pigeon,Band-tailed Pigeon
Eurasian Collared-Dove,Eurasian Collared-Dove
White-winged Dove,White-winged Dove
Mourning Dove,Mourning Dove
pigeon/dove sp.,pigeon/dove sp.
Greater Roadrunner,Greater Roadrunner
Common Poorwill,Common Poorwill
Vaux's Swift,Vaux's Swift
White-throated Swift,White-throated Swift
Black-chinned Hummingbird,Black-chinned Hummingbird
Anna's Hummingbird,Anna's Hummingbird
Costa's Hummingbird,Costa's Hummingbird
Rufous Hummingbird,Rufous Hummingbird
Allen's Hummingbird,Allen's Hummingbird
Rufous/Allen's Hummingbird,Rufous/Allen's Hummingbird
Selasphorus sp.,Selasphorus sp.
hummingbird sp.,hummingbird sp.
Virginia Rail,Virginia Rail
Sora,Sora
American Coot,American Coot
American Coot (Red-shielded),American Coot (Red-shielded)
Black-necked Stilt,Black-necked Stilt
Black-necked Stilt (Black-necked),Black-necked Stilt (Black-necked)
American Avocet,American Avocet
Black Oystercatcher,Black Oystercatcher
Black-bellied Plover,Black-bellied Plover
Pacific Golden-Plover,Pacific Golden-Plover
American/Pacific Golden-Plover (Lesser Golden-Plover),American/Pacific Golden-Plover (Lesser Golden-Plover)
Killdeer,Killdeer
Semipalmated Plover,Semipalmated Plover
Mountain Plover,Mountain Plover
Snowy Plover,Snowy Plover
plover sp.,plover sp.
Hudsonian Whimbrel,Hudsonian Whimbrel
Long-billed Curlew,Long-billed Curlew
Marbled Godwit,Marbled Godwit
Short-billed Dowitcher,Short-billed Dowitcher
Short-billed Dowitcher (caurinus),Short-billed Dowitcher (caurinus)
Long-billed Dowitcher,Long-billed Dowitcher
Short-billed/Long-billed Dowitcher,Short-billed/Long-billed Dowitcher
Wilson's Snipe,Wilson's Snipe
Wilson's Phalarope,Wilson's Phalarope
Red-necked Phalarope,Red-necked Phalarope
Spotted Sandpiper,Spotted Sandpiper
Solitary Sandpiper,Solitary Sandpiper
Wandering Tattler,Wandering Tattler
Lesser Yellowlegs,Lesser Yellowlegs
Willet,Willet
Willet (Western),Willet (Western)
Greater Yellowlegs,Greater Yellowlegs
