new_common_name,species_code,taxon_concept_id,scientific_name,order,family,family_common,category,taxonomic_order,report_as,extinct
Snow Goose,snogoo,avibase-D3A260BC,Anser caerulescens,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,267,NA,FALSE
Ross's Goose,rosgoo,avibase-7A24F57F,Anser rossii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,272,NA,FALSE
Snow/Ross's Goose,y00469,avibase-594A12EF,Anser caerulescens/rossii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,274,NA,NA
Greater White-fronted Goose,gwfgoo,avibase-466E9077,Anser albifrons,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,287,NA,FALSE
Brant,brant,avibase-3E04020B,Branta bernicla,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,314,NA,FALSE
Brant (Black),blkbra1,avibase-8C09000A,Branta bernicla nigricans,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,317,brant,NA
Cackling Goose,cacgoo1,avibase-60214D49,Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,331,NA,FALSE
Cackling Goose (Aleutian),alcgoo1,avibase-90B3F5BB,Branta hutchinsii leucopareia,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,332,cacgoo1,NA
Cackling Goose (minima),cacgoo2,avibase-C86F2A24,Branta hutchinsii minima,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,334,cacgoo1,NA
Cackling Goose (Taverner's),tacgoo1,avibase-DA8A7869,Branta hutchinsii taverneri,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,335,cacgoo1,NA
Canada Goose,cangoo,avibase-B59E1863,Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,342,NA,FALSE
Canada Goose (moffitti/maxima),cangoo4,avibase-D44C5CFA,Branta canadensis moffitti/maxima,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,343,cangoo,NA
Canada Goose (canadensis Group),cangoo1,avibase-AB3F42B4,Branta canadensis [canadensis Group],Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,349,cangoo,NA
Mute Swan,mutswa,avibase-694C127A,Cygnus olor,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,377,NA,FALSE
Trumpeter Swan,truswa,avibase-B86C504C,Cygnus buccinator,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,382,NA,FALSE
Tundra Swan (Whistling),tunswa1,avibase-D611DD41,Cygnus columbianus columbianus,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",issf,385,tunswa,NA
swan sp.,swan1,avibase-F9EC83D6,Cygnus sp.,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",spuh,394,NA,NA
Muscovy Duck (Domestic type),musduc3,avibase-1FE65763,Cairina moschata (Domestic type),Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",domestic,446,musduc,NA
Wood Duck,wooduc,avibase-27B2749A,Aix sponsa,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,455,NA,FALSE
Blue-winged Teal,buwtea,avibase-90E2543E,Spatula discors,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,485,NA,FALSE
Cinnamon Teal,cintea,avibase-0E599E6C,Spatula cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,487,NA,FALSE
Blue-winged x Cinnamon Teal (hybrid),bwxtea1,avibase-3151A7CA,Spatula discors x cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,494,NA,NA
Blue-winged/Cinnamon Teal,y00314,avibase-15045575,Spatula discors/cyanoptera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",slash,495,NA,NA
Northern Shoveler,norsho,avibase-ED4CE8E7,Spatula clypeata,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,501,NA,FALSE
Cinnamon Teal x Northern Shoveler (hybrid),x00630,avibase-6712E378,Spatula cyanoptera x clypeata,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",hybrid,504,NA,NA
Gadwall,gadwal,avibase-C235A4D7,Mareca strepera,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,505,NA,FALSE
Eurasian Wigeon,eurwig,avibase-15EE0D36,Mareca penelope,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,512,NA,FALSE
