Label,Code
Snow Goose,Snow Goose
Ross's Goose,Ross's Goose
Snow/Ross's Goose,Snow/Ross's Goose
Greater White-fronted Goose,Greater White-fronted Goose
Brant,Brant
Brant (Black),Brant (Black)
Cackling Goose,Cackling Goose
Cackling Goose (Aleutian),Cackling Goose (Aleutian)
Cackling Goose (minima),Cackling Goose (minima)
Cackling Goose (Taverner's),Cackling Goose (Taverner's)
Canada Goose,Canada Goose
Canada Goose (moffitti/maxima),Canada Goose (moffitti/maxima)
Canada Goose (canadensis Group),Canada Goose (canadensis Group)
Mute Swan,Mute Swan
Trumpeter Swan,Trumpeter Swan
Tundra Swan (Whistling),Tundra Swan (Whistling)
swan sp.,swan sp.
Muscovy Duck (Domestic type),Muscovy Duck (Domestic type)
Wood Duck,Wood Duck
Blue-winged Teal,Blue-winged Teal
Cinnamon Teal,Cinnamon Teal
Blue-winged x Cinnamon Teal (hybrid),Blue-winged x Cinnamon Teal (hybrid)
Blue-winged/Cinnamon Teal,Blue-winged/Cinnamon Teal
Northern Shoveler,Northern Shoveler
Cinnamon Teal x Northern Shoveler (hybrid),Cinnamon Teal x Northern Shoveler (hybrid)
Gadwall,Gadwall
Eurasian Wigeon,Eurasian Wigeon
American Wigeon,American Wigeon
Mallard,Mallard
Mallard (Domestic type),Mallard (Domestic type)
Mallard x Mexican Duck (hybrid),Mallard x Mexican Duck (hybrid)
Northern Pintail,Northern Pintail
Green-winged Teal,Green-winged Teal
Green-winged Teal (American),Green-winged Teal (American)
teal sp.,teal sp.
dabbling duck sp.,dabbling duck sp.
Canvasback,Canvasback
Redhead,Redhead
Ring-necked Duck,Ring-necked Duck
Tufted Duck,Tufted Duck
Lesser Scaup,Lesser Scaup
Greater/Lesser Scaup,Greater/Lesser Scaup
Surf Scoter,Surf Scoter
scoter sp.,scoter sp.
Bufflehead,Bufflehead
Common Goldeneye,Common Goldeneye
Hooded Merganser,Hooded Merganser
Common Merganser,Common Merganser
Red-breasted Merganser,Red-breasted Merganser
merganser sp.,merganser sp.
Ruddy Duck,Ruddy Duck
duck sp.,duck sp.
waterfowl sp.,waterfowl sp.
California Quail,California Quail
Rock Pigeon (Feral Pigeon),Rock Pigeon (Feral Pigeon)
Band-tailed Pigeon,Band-tailed Pigeon
Eurasian Collared-Dove,Eurasian Collared-Dove
White-winged Dove,White-winged Dove
Mourning Dove,Mourning Dove
pigeon/dove sp.,pigeon/dove sp.
Lesser Nighthawk,Lesser Nighthawk
Vaux's Swift,Vaux's Swift
White-throated Swift,White-throated Swift
swift sp.,swift sp.
Black-chinned Hummingbird,Black-chinned Hummingbird
Anna's Hummingbird,Anna's Hummingbird
Costa's Hummingbird,Costa's Hummingbird
Rufous Hummingbird,Rufous Hummingbird
Allen's Hummingbird,Allen's Hummingbird
Rufous/Allen's Hummingbird,Rufous/Allen's Hummingbird
Selasphorus sp.,Selasphorus sp.
hummingbird sp.,hummingbird sp.
Virginia Rail,Virginia Rail
Sora,Sora
Common Gallinule,Common Gallinule
Common Gallinule (American),Common Gallinule (American)
American Coot,American Coot
American Coot (Red-shielded),American Coot (Red-shielded)
rail/crake sp.,rail/crake sp.
Black-necked Stilt,Black-necked Stilt
Black-necked Stilt (Black-necked),Black-necked Stilt (Black-necked)
American Avocet,American Avocet
Black-bellied Plover,Black-bellied Plover
Killdeer,Killdeer
Semipalmated Plover,Semipalmated Plover
Snowy Plover,Snowy Plover
Snowy Plover (Northern),Snowy Plover (Northern)
plover sp.,plover sp.
Hudsonian Whimbrel,Hudsonian Whimbrel
Long-billed Curlew,Long-billed Curlew
Marbled Godwit,Marbled Godwit
Short-billed Dowitcher,Short-billed Dowitcher
Long-billed Dowitcher,Long-billed Dowitcher
Short-billed/Long-billed Dowitcher,Short-billed/Long-billed Dowitcher
Wilson's Snipe,Wilson's Snipe
Wilson's Phalarope,Wilson's Phalarope
Red Phalarope,Red Phalarope
Red-necked Phalarope,Red-necked Phalarope
phalarope sp.,phalarope sp.
Spotted Sandpiper,Spotted Sandpiper
Solitary Sandpiper,Solitary Sandpiper
Solitary Sandpiper (cinnamomea),Solitary Sandpiper (cinnamomea)
Lesser Yellowlegs,Lesser Yellowlegs
Willet,Willet
Willet (Western),Willet (Western)
Greater Yellowlegs,Greater Yellowlegs
Lesser/Greater Yellowlegs,Lesser/Greater Yellowlegs
Tringa sp.,Tringa sp.
Black Turnstone,Black Turnstone
Red Knot,Red Knot
Sharp-tailed Sandpiper,Sharp-tailed Sandpiper
Stilt Sandpiper,Stilt Sandpiper
Sanderling,Sanderling
Dunlin,Dunlin
Baird's Sandpiper,Baird's Sandpiper
Least Sandpiper,Least Sandpiper
Pectoral Sandpiper,Pectoral Sandpiper
Western Sandpiper,Western Sandpiper
Semipalmated Sandpiper,Semipalmated Sandpiper
peep sp.,peep sp.
Calidris sp.,Calidris sp.
large shorebird sp.,large shorebird sp.
shorebird sp.,shorebird sp.
Black-legged Kittiwake,Black-legged Kittiwake
Bonaparte's Gull,Bonaparte's Gull
Heermann's Gull,Heermann's Gull
Short-billed Gull,Short-billed Gull
Ring-billed Gull,Ring-billed Gull
Western Gull,Western Gull
American Herring Gull,American Herring Gull
California Gull,California Gull
Glaucous-winged Gull,Glaucous-winged Gull
Western x Glaucous-winged Gull (hybrid),Western x Glaucous-winged Gull (hybrid)
Western/Glaucous-winged Gull,Western/Glaucous-winged Gull
